File,Author,NumCommits
,larsh,15.0
bin,larsh,
conf,larsh,1.0
dev-support,larsh,
security/src/main/java/org/apache/hadoop/hbase/ipc,larsh,
security/src/main/java/org/apache/hadoop/hbase/security/access,larsh,
security/src/test/java/org/apache/hadoop/hbase/security/access,larsh,
src/docbkx,larsh,1.0
src/main/java/org/apache/hadoop/hbase,larsh,4.0
src/main/java/org/apache/hadoop/hbase/client,larsh,7.0
src/main/java/org/apache/hadoop/hbase/client/coprocessor,larsh,
src/main/java/org/apache/hadoop/hbase/client/replication,larsh,1.0
src/main/java/org/apache/hadoop/hbase/coprocessor,larsh,1.0
src/main/java/org/apache/hadoop/hbase/executor,larsh,
src/main/java/org/apache/hadoop/hbase/filter,larsh,1.0
src/main/java/org/apache/hadoop/hbase/fs,larsh,
src/main/java/org/apache/hadoop/hbase/io/hfile,larsh,5.0
src/main/java/org/apache/hadoop/hbase/ipc,larsh,
src/main/java/org/apache/hadoop/hbase/mapred,larsh,1.0
src/main/java/org/apache/hadoop/hbase/mapreduce,larsh,4.0
src/main/java/org/apache/hadoop/hbase/master,larsh,4.0
src/main/java/org/apache/hadoop/hbase/master/handler,larsh,
src/main/java/org/apache/hadoop/hbase/metrics,larsh,
src/main/java/org/apache/hadoop/hbase/metrics/histogram,larsh,1.0
src/main/java/org/apache/hadoop/hbase/monitoring,larsh,
src/main/java/org/apache/hadoop/hbase/regionserver,larsh,11.0
src/main/java/org/apache/hadoop/hbase/regionserver/handler,larsh,
src/main/java/org/apache/hadoop/hbase/regionserver/metrics,larsh,2.0
src/main/java/org/apache/hadoop/hbase/regionserver/wal,larsh,3.0
src/main/java/org/apache/hadoop/hbase/replication,larsh,1.0
src/main/java/org/apache/hadoop/hbase/replication/regionserver,larsh,1.0
src/main/java/org/apache/hadoop/hbase/rest,larsh,2.0
src/main/java/org/apache/hadoop/hbase/rest/client,larsh,1.0
src/main/java/org/apache/hadoop/hbase/rest/metrics,larsh,1.0
src/main/java/org/apache/hadoop/hbase/rest/model,larsh,1.0
src/main/java/org/apache/hadoop/hbase/rest/protobuf/generated,larsh,1.0
src/main/java/org/apache/hadoop/hbase/thrift,larsh,
src/main/java/org/apache/hadoop/hbase/util,larsh,5.0
src/main/java/org/apache/hadoop/hbase/util/hbck,larsh,
src/main/java/org/apache/hadoop/hbase/zookeeper,larsh,2.0
src/main/resources,larsh,1.0
src/main/resources/org/apache/hadoop/hbase/rest,larsh,1.0
src/main/resources/org/apache/hadoop/hbase/rest/protobuf,larsh,1.0
src/main/ruby/hbase,larsh,2.0
src/main/ruby/shell/commands,larsh,1.0
src/test/java/org/apache/hadoop/hbase,larsh,5.0
src/test/java/org/apache/hadoop/hbase/client,larsh,5.0
src/test/java/org/apache/hadoop/hbase/coprocessor,larsh,
src/test/java/org/apache/hadoop/hbase/filter,larsh,
src/test/java/org/apache/hadoop/hbase/io/encoding,larsh,
src/test/java/org/apache/hadoop/hbase/io/hfile,larsh,2.0
src/test/java/org/apache/hadoop/hbase/mapred,larsh,
src/test/java/org/apache/hadoop/hbase/mapreduce,larsh,
src/test/java/org/apache/hadoop/hbase/master,larsh,
src/test/java/org/apache/hadoop/hbase/regionserver,larsh,5.0
src/test/java/org/apache/hadoop/hbase/regionserver/handler,larsh,1.0
src/test/java/org/apache/hadoop/hbase/regionserver/wal,larsh,1.0
src/test/java/org/apache/hadoop/hbase/replication,larsh,1.0
src/test/java/org/apache/hadoop/hbase/replication/regionserver,larsh,1.0
src/test/java/org/apache/hadoop/hbase/rest/model,larsh,1.0
src/test/java/org/apache/hadoop/hbase/thrift,larsh,
src/test/java/org/apache/hadoop/hbase/util,larsh,3.0
src/test/java/org/apache/hadoop/hbase/util/hbck,larsh,
src/test/java/org/apache/hadoop/hbase/zookeeper,larsh,
,Jonathan Hsieh,2.0
bin,Jonathan Hsieh,1.0
conf,Jonathan Hsieh,
dev-support,Jonathan Hsieh,
security/src/main/java/org/apache/hadoop/hbase/ipc,Jonathan Hsieh,
security/src/main/java/org/apache/hadoop/hbase/security/access,Jonathan Hsieh,
security/src/test/java/org/apache/hadoop/hbase/security/access,Jonathan Hsieh,
src/docbkx,Jonathan Hsieh,
src/main/java/org/apache/hadoop/hbase,Jonathan Hsieh,3.0
src/main/java/org/apache/hadoop/hbase/client,Jonathan Hsieh,
src/main/java/org/apache/hadoop/hbase/client/coprocessor,Jonathan Hsieh,
src/main/java/org/apache/hadoop/hbase/client/replication,Jonathan Hsieh,
src/main/java/org/apache/hadoop/hbase/coprocessor,Jonathan Hsieh,
src/main/java/org/apache/hadoop/hbase/executor,Jonathan Hsieh,
src/main/java/org/apache/hadoop/hbase/filter,Jonathan Hsieh,
src/main/java/org/apache/hadoop/hbase/fs,Jonathan Hsieh,
src/main/java/org/apache/hadoop/hbase/io/hfile,Jonathan Hsieh,
src/main/java/org/apache/hadoop/hbase/ipc,Jonathan Hsieh,2.0
src/main/java/org/apache/hadoop/hbase/mapred,Jonathan Hsieh,
src/main/java/org/apache/hadoop/hbase/mapreduce,Jonathan Hsieh,
src/main/java/org/apache/hadoop/hbase/master,Jonathan Hsieh,6.0
src/main/java/org/apache/hadoop/hbase/master/handler,Jonathan Hsieh,
src/main/java/org/apache/hadoop/hbase/metrics,Jonathan Hsieh,
src/main/java/org/apache/hadoop/hbase/metrics/histogram,Jonathan Hsieh,
src/main/java/org/apache/hadoop/hbase/monitoring,Jonathan Hsieh,
src/main/java/org/apache/hadoop/hbase/regionserver,Jonathan Hsieh,
src/main/java/org/apache/hadoop/hbase/regionserver/handler,Jonathan Hsieh,
src/main/java/org/apache/hadoop/hbase/regionserver/metrics,Jonathan Hsieh,
src/main/java/org/apache/hadoop/hbase/regionserver/wal,Jonathan Hsieh,
src/main/java/org/apache/hadoop/hbase/replication,Jonathan Hsieh,
src/main/java/org/apache/hadoop/hbase/replication/regionserver,Jonathan Hsieh,
src/main/java/org/apache/hadoop/hbase/rest,Jonathan Hsieh,
src/main/java/org/apache/hadoop/hbase/rest/client,Jonathan Hsieh,
src/main/java/org/apache/hadoop/hbase/rest/metrics,Jonathan Hsieh,
src/main/java/org/apache/hadoop/hbase/rest/model,Jonathan Hsieh,
src/main/java/org/apache/hadoop/hbase/rest/protobuf/generated,Jonathan Hsieh,
src/main/java/org/apache/hadoop/hbase/thrift,Jonathan Hsieh,
src/main/java/org/apache/hadoop/hbase/util,Jonathan Hsieh,6.0
src/main/java/org/apache/hadoop/hbase/util/hbck,Jonathan Hsieh,2.0
src/main/java/org/apache/hadoop/hbase/zookeeper,Jonathan Hsieh,1.0
src/main/resources,Jonathan Hsieh,
src/main/resources/org/apache/hadoop/hbase/rest,Jonathan Hsieh,
src/main/resources/org/apache/hadoop/hbase/rest/protobuf,Jonathan Hsieh,
src/main/ruby/hbase,Jonathan Hsieh,
src/main/ruby/shell/commands,Jonathan Hsieh,
src/test/java/org/apache/hadoop/hbase,Jonathan Hsieh,1.0
src/test/java/org/apache/hadoop/hbase/client,Jonathan Hsieh,
src/test/java/org/apache/hadoop/hbase/coprocessor,Jonathan Hsieh,
src/test/java/org/apache/hadoop/hbase/filter,Jonathan Hsieh,
src/test/java/org/apache/hadoop/hbase/io/encoding,Jonathan Hsieh,
src/test/java/org/apache/hadoop/hbase/io/hfile,Jonathan Hsieh,
src/test/java/org/apache/hadoop/hbase/mapred,Jonathan Hsieh,
src/test/java/org/apache/hadoop/hbase/mapreduce,Jonathan Hsieh,
src/test/java/org/apache/hadoop/hbase/master,Jonathan Hsieh,
src/test/java/org/apache/hadoop/hbase/regionserver,Jonathan Hsieh,1.0
src/test/java/org/apache/hadoop/hbase/regionserver/handler,Jonathan Hsieh,
src/test/java/org/apache/hadoop/hbase/regionserver/wal,Jonathan Hsieh,
src/test/java/org/apache/hadoop/hbase/replication,Jonathan Hsieh,
src/test/java/org/apache/hadoop/hbase/replication/regionserver,Jonathan Hsieh,
src/test/java/org/apache/hadoop/hbase/rest/model,Jonathan Hsieh,
src/test/java/org/apache/hadoop/hbase/thrift,Jonathan Hsieh,
src/test/java/org/apache/hadoop/hbase/util,Jonathan Hsieh,5.0
src/test/java/org/apache/hadoop/hbase/util/hbck,Jonathan Hsieh,2.0
src/test/java/org/apache/hadoop/hbase/zookeeper,Jonathan Hsieh,
,Michael Stack,13.0
bin,Michael Stack,3.0
conf,Michael Stack,
dev-support,Michael Stack,4.0
security/src/main/java/org/apache/hadoop/hbase/ipc,Michael Stack,1.0
security/src/main/java/org/apache/hadoop/hbase/security/access,Michael Stack,
security/src/test/java/org/apache/hadoop/hbase/security/access,Michael Stack,
src/docbkx,Michael Stack,
src/main/java/org/apache/hadoop/hbase,Michael Stack,6.0
src/main/java/org/apache/hadoop/hbase/client,Michael Stack,2.0
src/main/java/org/apache/hadoop/hbase/client/coprocessor,Michael Stack,2.0
src/main/java/org/apache/hadoop/hbase/client/replication,Michael Stack,
src/main/java/org/apache/hadoop/hbase/coprocessor,Michael Stack,4.0
src/main/java/org/apache/hadoop/hbase/executor,Michael Stack,1.0
src/main/java/org/apache/hadoop/hbase/filter,Michael Stack,
src/main/java/org/apache/hadoop/hbase/fs,Michael Stack,1.0
src/main/java/org/apache/hadoop/hbase/io/hfile,Michael Stack,2.0
src/main/java/org/apache/hadoop/hbase/ipc,Michael Stack,8.0
src/main/java/org/apache/hadoop/hbase/mapred,Michael Stack,
src/main/java/org/apache/hadoop/hbase/mapreduce,Michael Stack,2.0
src/main/java/org/apache/hadoop/hbase/master,Michael Stack,11.0
src/main/java/org/apache/hadoop/hbase/master/handler,Michael Stack,2.0
src/main/java/org/apache/hadoop/hbase/metrics,Michael Stack,1.0
src/main/java/org/apache/hadoop/hbase/metrics/histogram,Michael Stack,1.0
src/main/java/org/apache/hadoop/hbase/monitoring,Michael Stack,1.0
src/main/java/org/apache/hadoop/hbase/regionserver,Michael Stack,14.0
src/main/java/org/apache/hadoop/hbase/regionserver/handler,Michael Stack,
src/main/java/org/apache/hadoop/hbase/regionserver/metrics,Michael Stack,3.0
src/main/java/org/apache/hadoop/hbase/regionserver/wal,Michael Stack,3.0
src/main/java/org/apache/hadoop/hbase/replication,Michael Stack,
src/main/java/org/apache/hadoop/hbase/replication/regionserver,Michael Stack,
src/main/java/org/apache/hadoop/hbase/rest,Michael Stack,
src/main/java/org/apache/hadoop/hbase/rest/client,Michael Stack,
src/main/java/org/apache/hadoop/hbase/rest/metrics,Michael Stack,
src/main/java/org/apache/hadoop/hbase/rest/model,Michael Stack,
src/main/java/org/apache/hadoop/hbase/rest/protobuf/generated,Michael Stack,
src/main/java/org/apache/hadoop/hbase/thrift,Michael Stack,1.0
src/main/java/org/apache/hadoop/hbase/util,Michael Stack,4.0
src/main/java/org/apache/hadoop/hbase/util/hbck,Michael Stack,
src/main/java/org/apache/hadoop/hbase/zookeeper,Michael Stack,5.0
src/main/resources,Michael Stack,2.0
src/main/resources/org/apache/hadoop/hbase/rest,Michael Stack,
src/main/resources/org/apache/hadoop/hbase/rest/protobuf,Michael Stack,
src/main/ruby/hbase,Michael Stack,2.0
src/main/ruby/shell/commands,Michael Stack,
src/test/java/org/apache/hadoop/hbase,Michael Stack,8.0
src/test/java/org/apache/hadoop/hbase/client,Michael Stack,2.0
src/test/java/org/apache/hadoop/hbase/coprocessor,Michael Stack,4.0
src/test/java/org/apache/hadoop/hbase/filter,Michael Stack,1.0
src/test/java/org/apache/hadoop/hbase/io/encoding,Michael Stack,1.0
src/test/java/org/apache/hadoop/hbase/io/hfile,Michael Stack,1.0
src/test/java/org/apache/hadoop/hbase/mapred,Michael Stack,
src/test/java/org/apache/hadoop/hbase/mapreduce,Michael Stack,
src/test/java/org/apache/hadoop/hbase/master,Michael Stack,5.0
src/test/java/org/apache/hadoop/hbase/regionserver,Michael Stack,5.0
src/test/java/org/apache/hadoop/hbase/regionserver/handler,Michael Stack,1.0
src/test/java/org/apache/hadoop/hbase/regionserver/wal,Michael Stack,3.0
src/test/java/org/apache/hadoop/hbase/replication,Michael Stack,
src/test/java/org/apache/hadoop/hbase/replication/regionserver,Michael Stack,
src/test/java/org/apache/hadoop/hbase/rest/model,Michael Stack,
src/test/java/org/apache/hadoop/hbase/thrift,Michael Stack,
src/test/java/org/apache/hadoop/hbase/util,Michael Stack,2.0
src/test/java/org/apache/hadoop/hbase/util/hbck,Michael Stack,
src/test/java/org/apache/hadoop/hbase/zookeeper,Michael Stack,
,Zhihong Yu,4.0
bin,Zhihong Yu,
conf,Zhihong Yu,
dev-support,Zhihong Yu,
security/src/main/java/org/apache/hadoop/hbase/ipc,Zhihong Yu,
security/src/main/java/org/apache/hadoop/hbase/security/access,Zhihong Yu,2.0
security/src/test/java/org/apache/hadoop/hbase/security/access,Zhihong Yu,1.0
src/docbkx,Zhihong Yu,
src/main/java/org/apache/hadoop/hbase,Zhihong Yu,1.0
src/main/java/org/apache/hadoop/hbase/client,Zhihong Yu,
src/main/java/org/apache/hadoop/hbase/client/coprocessor,Zhihong Yu,1.0
src/main/java/org/apache/hadoop/hbase/client/replication,Zhihong Yu,
src/main/java/org/apache/hadoop/hbase/coprocessor,Zhihong Yu,1.0
src/main/java/org/apache/hadoop/hbase/executor,Zhihong Yu,
src/main/java/org/apache/hadoop/hbase/filter,Zhihong Yu,
src/main/java/org/apache/hadoop/hbase/fs,Zhihong Yu,
src/main/java/org/apache/hadoop/hbase/io/hfile,Zhihong Yu,
src/main/java/org/apache/hadoop/hbase/ipc,Zhihong Yu,
src/main/java/org/apache/hadoop/hbase/mapred,Zhihong Yu,
src/main/java/org/apache/hadoop/hbase/mapreduce,Zhihong Yu,2.0
src/main/java/org/apache/hadoop/hbase/master,Zhihong Yu,5.0
src/main/java/org/apache/hadoop/hbase/master/handler,Zhihong Yu,1.0
src/main/java/org/apache/hadoop/hbase/metrics,Zhihong Yu,
src/main/java/org/apache/hadoop/hbase/metrics/histogram,Zhihong Yu,
src/main/java/org/apache/hadoop/hbase/monitoring,Zhihong Yu,
src/main/java/org/apache/hadoop/hbase/regionserver,Zhihong Yu,9.0
src/main/java/org/apache/hadoop/hbase/regionserver/handler,Zhihong Yu,3.0
src/main/java/org/apache/hadoop/hbase/regionserver/metrics,Zhihong Yu,
src/main/java/org/apache/hadoop/hbase/regionserver/wal,Zhihong Yu,1.0
src/main/java/org/apache/hadoop/hbase/replication,Zhihong Yu,
src/main/java/org/apache/hadoop/hbase/replication/regionserver,Zhihong Yu,
src/main/java/org/apache/hadoop/hbase/rest,Zhihong Yu,
src/main/java/org/apache/hadoop/hbase/rest/client,Zhihong Yu,
src/main/java/org/apache/hadoop/hbase/rest/metrics,Zhihong Yu,
